house_id,Neighborhood,YearBuilt,Price
house-2546,Rural,2011,310456.1576377979
house-11094,Rural,1976,195310.9136418317
house-24107,Urban,1976,325239.3517433041
house-17677,Rural,1952,247969.73106575903
house-6967,Suburb,1991,300178.4796542623
house-27769,Rural,2002,311757.7591428249
house-4656,Rural,1995,217002.248008353
house-47690,Rural,2014,134489.66610266504
house-40480,Urban,2013,89614.68513430968
house-18543,Rural,2015,259970.9658340068
house-2625,Urban,2011,103133.42873583768
house-46033,Rural,1981,358814.6852818456
house-34801,Rural,1992,231984.38905626335
house-1780,Urban,1952,203889.7091760436
house-13064,Urban,1999,292504.9517160221
house-27420,Rural,1965,264105.8910786277
house-49570,Suburb,1984,158653.67378333214
house-31588,Urban,2009,116666.75779746936
house-28635,Suburb,1965,207061.98687742357
house-41906,Urban,2005,210203.1777025744
house-31320,Urban,1998,237944.23329889693
house-27656,Rural,2004,208133.63996205849
house-8095,Suburb,2020,279796.3000843157
house-22478,Urban,2006,185393.1558613573
house-34028,Rural,1987,337894.58630316646
house-30592,Rural,1970,256241.84376577425
house-30502,Rural,1954,182788.72538058733
house-20324,Rural,1974,221505.7085740977
house-4754,Suburb,1999,231951.3860374442
house-12061,Suburb,2019,268940.5009733792
house-17434,Urban,1986,209687.80448700264
house-35190,Rural,1996,130339.49692491315
house-9457,Suburb,1982,175215.6889293787
house-44311,Suburb,1998,291544.56795184186
house-1644,Urban,1961,204612.6297465208
house-32047,Urban,1998,279353.5842110412
house-30,Rural,2014,240976.55176671065
house-40613,Urban,1954,103460.82451382714
house-2204,Rural,1952,94955.56338612626
house-97,Urban,1996,318297.25657762005
house-25602,Urban,1980,253010.17428872912
house-26063,Rural,1957,202474.355439536
house-13239,Rural,2003,172498.6313509911
house-23057,Rural,1992,188967.41639704412
house-14438,Rural,1989,244350.8330042165
house-15452,Rural,2020,210900.97326757465
house-37041,Urban,1964,116355.9386817014
house-45453,Rural,1952,338183.558371074
house-2718,Suburb,2005,188416.24010045495
house-7730,Suburb,1979,195827.85633944505
house-24374,Rural,1993,116001.79789061076
house-34763,Suburb,1975,222402.6130220804
house-28799,Rural,1971,265998.0887255442
house-35779,Rural,1967,220123.3790887989
house-2353,Suburb,1954,150741.44481378322
house-34947,Rural,1951,293516.5437298203
house-43857,Rural,1981,140290.79817375902
house-13072,Urban,1979,204419.27183221013
house-22596,Urban,1977,87865.48961115332
house-21713,Suburb,1967,302010.2170213557
house-9420,Urban,2006,223121.17318709227
house-170,Rural,2012,102580.49836622812
house-6502,Urban,1986,86787.54126479747
house-26298,Rural,1981,276666.6197016665
house-12220,Rural,1986,405102.2738033408
house-43854,Urban,1954,84336.58526380025
house-1039,Suburb,1961,189782.12338056669
house-10723,Suburb,2014,152529.97613382022
house-36643,Urban,2012,216103.7684183063
house-28764,Urban,1988,156081.35272147364
house-5978,Suburb,1969,196201.42077080725
house-45042,Urban,1972,259845.3524419132
house-26033,Urban,1981,341034.8349561923
house-17127,Rural,1968,242916.31930508884
house-24447,Suburb,1977,106112.47861762844
house-49104,Rural,2009,325344.5163008595
