house_id,SquareFeet,Bedrooms,Bathrooms
house-01,2126,4,1
house-02,2459,3,2
house-03,1860,2,1
house-04,2294,2,1
house-05,2130,5,2
house-06,2095,2,3
house-07,2724,2,1
house-08,2044,4,3
house-09,2638,4,3
house-10,1121,5,2
house-11,1466,5,3
house-12,2238,3,3
house-13,1330,2,2
house-14,2482,4,3
house-15,1087,4,1
house-16,2396,2,2
house-17,2123,5,2
house-18,1871,4,2
house-19,2687,5,1
house-20,1130,4,3
house-21,2685,4,3
house-22,2332,3,3
house-23,1769,4,1
house-24,1343,2,3
house-25,2515,2,3
house-26,2437,2,1
house-27,1805,5,1
house-28,1385,4,3
house-29,2215,5,1
house-30,1955,3,1
house-31,1276,4,1
house-32,2184,2,2
house-33,1459,3,2
house-34,2337,3,3
house-35,1021,4,3
house-36,1252,2,1
house-37,1747,5,3
house-38,1856,4,2
house-39,2584,2,3
house-40,1474,3,3
house-41,2082,4,2
house-42,1510,3,2
house-43,2705,2,1
house-44,2499,5,1
house-45,1699,5,1
house-46,1975,3,3
house-47,2806,3,3
house-48,1189,3,3
house-49,1957,4,2
house-50,1686,2,3
house-51,1957,3,2
house-52,1562,3,3
house-53,2899,3,3
house-54,2590,5,2
house-55,2267,3,2
house-56,1831,2,2
house-57,2528,5,1
house-58,2154,2,1
house-59,2508,5,3
house-60,2842,5,3
house-61,1646,4,3
house-62,1020,5,1
house-63,1840,5,3
house-64,1166,2,2
house-65,2297,2,2
house-66,1387,3,1
house-67,1600,4,2
house-68,1315,5,2
house-69,1013,4,3
house-70,1241,3,2
house-71,1776,4,2
house-72,2369,5,1
house-73,1564,2,2
house-74,1897,4,2
house-75,2363,5,3
house-76,1091,3,3
house-77,2390,5,3
house-78,1955,4,1
house-79,2478,5,3
house-80,2451,5,2
house-81,1508,4,1
house-82,1775,4,2
house-83,2966,3,2
house-84,1034,5,3
house-85,1205,2,1
house-86,2104,4,1
house-87,2955,5,3
house-88,2585,2,1
house-89,2895,2,2
house-90,2411,5,1
house-91,2025,5,2
house-92,2021,5,1
house-93,2413,2,1
house-94,1565,5,3
house-95,2129,4,3
house-96,2795,2,1
house-97,2845,4,2
house-98,2500,4,3
house-99,1702,5,3
house-100,1401,4,3
house-101,1729,5,1
house-102,2579,2,2
house-103,1161,4,2
