pollution_2023,pollution_growth_Rate,country_name,ccn3,country_region,united_nation_Member,country_land_Area_in_Km,pollution_density_in_km,pollution_density_per_Mile,share_borders,pollution_Rank,mostPollutedCountries_particlePollution
1428627663,0.00808,India,356,Asia,True,2973190.0,480.5033,1244.5036,"AFG, BGD, BTN, MMR, CHN, NPL, PAK, LKA",1,58.08
1425671352,-0.00015,China,156,Asia,True,9424702.9,151.2696,391.7884,"AFG, BTN, MMR, HKG, IND, KAZ, PRK, KGZ, LAO, MAC, MNG, PAK, RUS, TJK, VNM",2,39.12
339996563,0.00505,United States,840,North America,True,9147420.0,37.1686,96.2666,"CAN, MEX",3,9.04
277534122,0.00738,Indonesia,360,Asia,True,1877519.0,147.8196,382.8528,"TLS, MYS, PNG",4,51.71
240485658,0.01976,Pakistan,586,Asia,True,770880.0,311.9625,807.9829,"AFG, CHN, IND, IRN",5,65.81
223804632,0.02408,Nigeria,566,Africa,True,910770.0,245.7312,636.4439,"BEN, CMR, TCD, NER",6,21.4
216422446,0.00515,Brazil,76,South America,True,8358140.0,25.8936,67.0645,"ARG, BOL, COL, GUF, GUY, PRY, PER, SUR, URY, VEN",7,15.77
172954319,0.01033,Bangladesh,50,Asia,True,130170.0,1328.6803,3441.2821,"MMR, IND",8,83.3
144444359,-0.00186,Russia,643,Europe,True,16376870.0,8.82,22.8439,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, PRK, LVA, LTU, MNG, NOR, POL, UKR",9,9.85
128455567,0.00746,Mexico,484,North America,True,1943950.0,66.0797,171.1463,"BLZ, GTM, USA",10,20.02
126527060,0.02551,Ethiopia,231,Africa,True,1128571.3,112.1126,290.3716,"DJI, ERI, KEN, SOM, SSD, SDN",11,20.1
123294513,-0.0053,Japan,392,Asia,True,364500.0,338.2566,876.0845,,12,11.36
117337368,0.01539,Philippines,608,Asia,True,298170.0,393.5251,1019.2299,,13,17.63
112716598,0.01556,Egypt,818,Africa,True,995450.0,113.2318,293.2704,"ISR, LBY, SDN",14,18.0
102262808,0.03285,DR Congo,180,Africa,True,2267050.0,45.1083,116.8305,"AGO, BDI, CAF, COG, RWA, SSD, TZA, UGA, ZMB",15,32.1
98858950,0.00685,Vietnam,704,Asia,True,313429.0,315.411,816.9145,"KHM, CHN, LAO",16,34.06
89172767,0.00703,Iran,364,Asia,True,1622500.0,54.9601,142.3467,"AFG, ARM, AZE, IRQ, PAK, TUR, TKM",17,24.27
85816199,0.00557,Turkey,792,Asia,True,783562.0,109.5206,283.6584,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR",18,20.62
83294633,-0.0009,Germany,276,Europe,True,349390.0,238.4002,617.4564,"AUT, BEL, CZE, DNK, FRA, LUX, NLD, POL, CHE",19,11.01
71801279,0.00145,Thailand,764,Asia,True,510890.0,140.5416,364.0026,"MMR, KHM, LAO, MYS",20,24.25
67736802,0.00338,United Kingdom,826,Europe,True,241930.0,279.9851,725.1615,IRL,21,10.53
64756584,0.00201,France,250,Europe,True,547557.0,118.2646,306.3052,"AND, BEL, DEU, ITA, LUX, MCO, ESP, CHE",23,12.34
60414495,0.00869,South Africa,710,Africa,True,1213090.0,49.8022,128.9876,"BWA, LSO, MOZ, NAM, SWZ, ZWE",24,21.56
58870762,-0.00282,Italy,380,Europe,True,295717.0,199.078,515.6121,"AUT, FRA, SMR, SVN, CHE, VAT",25,17.09
54577997,0.00736,Myanmar,104,Asia,True,652670.0,83.6227,216.5827,"BGD, CHN, IND, LAO, THA",27,31.0
52085168,0.00407,Colombia,170,South America,True,1109500.0,46.9447,121.5868,"BRA, ECU, PAN, PER, VEN",28,14.61
51784059,-0.00061,South Korea,410,Asia,True,97600.0,530.5744,1374.1876,PRK,29,24.78
48582334,0.02821,Uganda,800,Africa,True,200520.0,242.2817,627.5097,"COD, KEN, RWA, SSD, TZA",30,29.1
47519628,-0.00082,Spain,724,Europe,True,499556.6,95.1236,246.3702,"AND, FRA, GIB, PRT, MAR",32,9.74
45773884,0.00579,Argentina,32,South America,True,2736690.0,16.726,43.3203,"BOL, BRA, CHL, PRY, URY",33,14.6
45606480,0.01566,Algeria,12,Africa,True,2381741.0,19.1484,49.5943,"TUN, LBY, NER, ESH, MRT, MLI, MAR",34,21.2
45504560,0.02266,Iraq,368,Asia,True,434128.0,104.8183,271.4794,"IRN, JOR, KWT, SAU, SYR, TUR",35,39.6
42239854,0.02702,Afghanistan,4,Asia,True,652230.0,64.7622,167.7341,"IRN, PAK, TKM, UZB, TJK, CHN",36,58.8
41026067,0.02933,Poland,616,Europe,True,306130.0,134.0152,347.0993,"BLR, CZE, DEU, LTU, RUS, SVK, UKR",37,18.67
38781291,0.0085,Canada,124,North America,True,8965590.0,4.3256,11.2032,USA,38,7.72
36947025,0.01478,Saudi Arabia,682,Asia,True,2149690.0,17.1871,44.5147,"IRQ, JOR, KWT, OMN, QAT, ARE, YEM",40,22.5
36744634,-0.07448,Ukraine,804,Europe,True,579400.0,63.4184,164.2537,"BLR, HUN, MDA, POL, ROU, RUS, SVK",41,16.6
36684202,0.03077,Angola,24,Africa,True,1246700.0,29.425,76.2109,"COG, COD, ZMB, NAM",42,15.9
